,Cmd,Ct_err,Cc_err,CD,SP
"('M0M1_0.012_0.032_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,6.356588061,-100,110,330
"('M0M1_0.012_0.032_ABA', (0, 0, 0, 0, 0, False))",,2.338141049,-100,272,235
"('M0M1_0.012_0.032_ABA', (10, 0, 0, 0, 0, False))",,5.925398872,-100,272,235
"('M0M1_0.012_0.032_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,2.34154538,-100,272,235
"('M0M1_0.012_0.032_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,5.792581976,-100,272,235
"('M0M1_0.012_0.032_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,2.34154538,-100,272,235
"('M0M1_0.012_0.032_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,5.792581976,-100,272,235
"('M0M1_0.012_0.032_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,2.34154538,-100,272,235
"('M0M1_0.012_0.032_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,5.792581976,-100,272,235
"('M0M1_0.012_0.032_BAB', (0, 0, 0, 0, 0, False))",,3.309829626,-100,166,221
"('M0M1_0.012_0.032_BAB', (10, 0, 0, 0, 0, False))",,7.51842779,-100,166,221
"('M0M1_0.012_0.032_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.822140058,-100,166,221
"('M0M1_0.012_0.032_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,6.902488825,-100,166,221
"('M0M1_0.012_0.032_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,2.822140058,-100,166,221
"('M0M1_0.012_0.032_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,6.902488825,-100,166,221
"('M0M1_0.012_0.032_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,2.822140058,-100,166,221
"('M0M1_0.012_0.032_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,6.902488825,-100,166,221
"('M0M1_0.012_0.032_BBB', (0, 0, 0, 0, 0, False))",,3.553037177,-100,170,270
"('M0M1_0.012_0.032_BBB', (10, 0, 0, 0, 0, False))",,7.526694347,-100,170,270
"('M0M1_0.012_0.032_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,2.718217738,-100,162,278
"('M0M1_0.012_0.032_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,6.003163417,-100,162,278
"('M0M1_0.012_0.032_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,2.718217738,-100,162,278
"('M0M1_0.012_0.032_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,6.003163417,-100,162,278
"('M0M1_0.012_0.032_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,2.718217738,-100,162,278
"('M0M1_0.012_0.032_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,6.003163417,-100,162,278
"('M0M1_0.012_0.034_AAA', (0, 0, 0, 0, 0, False))",,1.910103001,-100,122,338
"('M0M1_0.012_0.034_AAA', (10, 0, 0, 0, 0, False))",,6.576390238,-100,122,338
"('M0M1_0.012_0.034_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,1.525537251,-100,110,350
"('M0M1_0.012_0.034_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,6.164852078,-100,110,350
"('M0M1_0.012_0.034_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,1.525537251,-100,110,350
"('M0M1_0.012_0.034_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,6.164852078,-100,110,350
"('M0M1_0.012_0.034_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,1.525537251,-100,110,350
"('M0M1_0.012_0.034_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,6.164852078,-100,110,350
"('M0M1_0.012_0.034_ABA', (0, 0, 0, 0, 0, False))",,1.8752892,-100,274,239
"('M0M1_0.012_0.034_ABA', (10, 0, 0, 0, 0, False))",,6.035197266,-100,274,239
"('M0M1_0.012_0.034_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,2.367319076,-100,274,239
"('M0M1_0.012_0.034_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,5.696441125,-100,274,239
"('M0M1_0.012_0.034_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,2.367319076,-100,274,239
"('M0M1_0.012_0.034_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,5.696441125,-100,274,239
"('M0M1_0.012_0.034_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,2.367319076,-100,274,239
"('M0M1_0.012_0.034_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,5.696441125,-100,274,239
"('M0M1_0.012_0.034_BAB', (0, 0, 0, 0, 0, False))",,2.818272932,-100,170,237
"('M0M1_0.012_0.034_BAB', (10, 0, 0, 0, 0, False))",,7.86029931,-100,170,237
"('M0M1_0.012_0.034_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.988289409,-100,168,239
"('M0M1_0.012_0.034_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,7.787657083,-100,168,239
"('M0M1_0.012_0.034_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,1.988289409,-100,168,239
"('M0M1_0.012_0.034_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,7.787657083,-100,168,239
"('M0M1_0.012_0.034_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,1.988289409,-100,168,239
"('M0M1_0.012_0.034_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,7.787657083,-100,168,239
"('M0M1_0.012_0.034_BBB', (0, 0, 0, 0, 0, False))",,3.183550791,-100,196,264
"('M0M1_0.012_0.034_BBB', (10, 0, 0, 0, 0, False))",,6.697030068,-100,196,264
"('M0M1_0.012_0.034_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,1.91185794,-100,190,270
"('M0M1_0.012_0.034_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,5.960087712,-100,190,270
"('M0M1_0.012_0.034_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,1.91185794,-100,190,270
"('M0M1_0.012_0.034_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,5.960087712,-100,190,270
"('M0M1_0.012_0.034_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,1.91185794,-100,190,270
"('M0M1_0.012_0.034_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,5.960087712,-100,190,270
"('M0M1_0.012_0.036_AAA', (0, 0, 0, 0, 0, False))",,1.931577055,-100,124,356
"('M0M1_0.012_0.036_AAA', (10, 0, 0, 0, 0, False))",,6.080942948,-100,124,356
"('M0M1_0.012_0.036_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,2.030589001,-100,112,368
"('M0M1_0.012_0.036_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,5.76996782,-100,112,368
"('M0M1_0.012_0.036_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,2.030589001,-100,112,368
"('M0M1_0.012_0.036_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,5.76996782,-100,112,368
"('M0M1_0.012_0.036_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,2.030589001,-100,112,368
"('M0M1_0.012_0.036_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,5.76996782,-100,112,368
"('M0M1_0.012_0.036_ABA', (0, 0, 0, 0, 0, False))",,2.427476523,-100,276,257
"('M0M1_0.012_0.036_ABA', (10, 0, 0, 0, 0, False))",,5.850009155,-100,276,257
"('M0M1_0.012_0.036_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.702979032,-100,274,259
"('M0M1_0.012_0.036_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,5.69235051,-100,274,259
"('M0M1_0.012_0.036_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.702979032,-100,274,259
"('M0M1_0.012_0.036_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,5.69235051,-100,274,259
"('M0M1_0.012_0.036_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.702979032,-100,274,259
"('M0M1_0.012_0.036_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,5.69235051,-100,274,259
"('M0M1_0.012_0.036_BAB', (0, 0, 0, 0, 0, False))",,1.917702273,-100,170,257
"('M0M1_0.012_0.036_BAB', (10, 0, 0, 0, 0, False))",,6.616746644,-100,170,257
